contrato_id,tipo_contrato,texto_clausula,tipo_clausula,es_abusiva,severidad,articulo_violado,descripcion_riesgo,pais
REF-0001,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. segun buena fe contractual.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Peru
REF-0002,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. respetando la normativa peruana vigente.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Chile
REF-0003,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. con notificacion escrita previa.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Peru
REF-0004,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. previa coordinacion entre las partes.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Peru
REF-0005,laboral,"El empleador podra modificar unilateralmente funciones, salario y lugar de trabajo sin aviso previo. salvo acuerdo expreso en contrario.",modificacion_unilateral,1,critico,Art. 1362 CC,Facultad unilateral desproporcionada,Peru
REF-0006,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. segun buena fe contractual.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Chile
REF-0007,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. previa coordinacion entre las partes.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Espana
REF-0008,laboral,La empresa pagara la remuneracion mensual dentro de los primeros cinco dias habiles de cada mes. previa coordinacion entre las partes.,remuneracion,0,bajo,,Clausula regular de pago oportuno,Chile
REF-0009,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. previa coordinacion entre las partes.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Mexico
REF-0010,laboral,El trabajador no podra laborar para competidores durante cinco anos en todo el pais sin compensacion economica. salvo acuerdo expreso en contrario.,no_competencia,1,alto,Art. 1400 CC,Restriccion amplia de no competencia sin compensacion,Espana
REF-0011,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. segun buena fe contractual.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0012,laboral,Toda controversia laboral sera resuelta solo por arbitraje privado obligatorio renunciando a la via judicial. salvo acuerdo expreso en contrario.,arbitraje,1,alto,Art. 1398 CC,Renuncia anticipada a tutela jurisdiccional,Colombia
REF-0013,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. con notificacion escrita previa.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Chile
REF-0014,laboral,El empleador podra compartir datos personales y biometricos del trabajador con terceros sin consentimiento adicional. segun buena fe contractual.,datos_personales,1,critico,Ley 29733,Tratamiento excesivo de datos personales sin base suficiente,Peru
REF-0015,laboral,La obligacion de confidencialidad se mantendra por dos anos luego del cese laboral. segun buena fe contractual.,confidencialidad,0,bajo,,Confidencialidad con plazo razonable,Colombia
